date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
9/7/2017,2017,0,0,NE,KC,1687.395154,1613.148952,0.690309273,27,42,0
9/10/2017,2017,0,0,DET,ARI,1500.732112,1536.821593,0.541509819,35,23,1
9/10/2017,2017,0,0,CLE,PIT,1335.76766,1598.852911,0.242270725,18,21,0
9/10/2017,2017,0,0,CHI,ATL,1383.934716,1617.20457,0.275151832,17,23,0
9/10/2017,2017,0,0,CIN,BAL,1515.969638,1491.099567,0.62652409,0,20,0
9/10/2017,2017,0,0,BUF,NYJ,1484.127683,1451.565526,0.636825657,21,12,1
9/10/2017,2017,0,0,TEN,OAK,1459.715122,1529.85159,0.492608566,16,26,0
9/10/2017,2017,0,0,HOU,JAX,1502.139008,1381.984201,0.743804375,7,29,0
9/10/2017,2017,0,0,WSH,PHI,1504.457904,1511.097196,0.583206697,17,30,0
9/10/2017,2017,0,0,LAR,IND,1398.793458,1513.712137,0.428651525,46,9,1
9/10/2017,2017,0,0,GB,SEA,1586.722386,1570.901591,0.61425696,17,9,1
9/10/2017,2017,0,0,SF,CAR,1353.459533,1526.877166,0.348849077,3,23,0
9/10/2017,2017,0,0,DAL,NYG,1569.472083,1530.436026,0.645399954,19,3,1
9/11/2017,2017,0,0,MIN,NO,1498.174613,1498.260704,0.592346568,29,19,1
9/11/2017,2017,0,0,DEN,LAC,1555.532966,1437.046156,0.741970389,24,21,1
9/14/2017,2017,0,0,CIN,HOU,1476.195532,1451.208768,0.626681256,9,13,0
9/17/2017,2017,0,0,CAR,BUF,1547.121106,1500.142289,0.655792982,9,3,1
9/17/2017,2017,0,0,NO,NE,1479.27082,1646.529757,0.356944723,20,36,0
9/17/2017,2017,0,0,JAX,TEN,1432.914441,1436.145676,0.587967537,16,37,0
9/17/2017,2017,0,0,PIT,MIN,1605.015234,1517.164496,0.706797266,26,9,1
9/17/2017,2017,0,0,BAL,CLE,1530.873673,1329.605337,0.822410324,24,10,1
9/17/2017,2017,0,0,IND,ARI,1471.180495,1513.606583,0.532440834,13,16,0
9/17/2017,2017,0,0,KC,PHI,1654.014349,1542.718347,0.733966543,27,20,1
9/17/2017,2017,0,0,TB,CHI,1505.564971,1373.987153,0.75613274,29,7,1
9/17/2017,2017,0,0,OAK,NYJ,1553.421036,1435.55092,0.741290162,45,20,1
9/17/2017,2017,0,0,LAC,MIA,1430.442797,1508.519331,0.481190236,17,19,0
9/17/2017,2017,0,0,LAR,WSH,1441.3251,1472.836752,0.548044911,20,27,0
9/17/2017,2017,0,0,SEA,SF,1554.550977,1333.215593,0.838658313,12,9,1
9/17/2017,2017,0,0,DEN,DAL,1562.136326,1588.657952,0.555149537,42,17,1
9/17/2017,2017,0,0,ATL,GB,1627.152133,1603.073,0.625458111,34,23,1
9/18/2017,2017,0,0,NYG,DET,1511.250157,1523.947122,0.574706625,10,24,0
9/21/2017,2017,0,0,SF,LAR,1329.257417,1418.180242,0.465626592,39,41,0
9/24/2017,2017,1,0,JAX,BAL,1395.515757,1539.453663,0.303946845,44,7,1
9/24/2017,2017,0,0,NYJ,MIA,1419.986634,1519.029689,0.451164294,20,6,1
9/24/2017,2017,0,0,MIN,TB,1501.316293,1519.603469,0.566822992,34,17,1
9/24/2017,2017,0,0,IND,CLE,1456.265055,1321.025347,0.759998706,31,28,1
