year,week,h_team,a_team,div_game,line,over,temp,elo_d,appg_d,wins_d,poss_d,otds_d,ryds_d,rypc_d,npyd_d,pypa_d,cpct_d,1dcv_d,3pct_d,sack_d,ints_d,turn_d,peny_d,h_wins,line_w,over_w
2003,1.0,BUF,NE,1.0,-1.0,44.5,72.0,-50.118999999999915,-0.125,-0.0625,1.9375,0.25,5.5,0.295680542868,26.125,0.904272673257,-0.00216874628639,3.1875,-0.00274442538593,1.4375,0.0625,0.4375,8.5,1.0,1.0,0.0
2003,1.0,CAR,JAX,0.0,-4.0,34.5,72.0,-9.016000000000076,-4.375,0.0625,0.68125,-0.6875,-31.4375,-1.08235923369,-4.25,-0.110063069115,-0.0305176145693,-2.3125,-0.0572808833678,0.125,0.8125,1.5625,6.25,1.0,0.0,1.0
2003,1.0,CIN,DEN,0.0,6.0,43.5,72.0,-174.6489999999999,-7.0625,-0.4375,-2.22604166667,-0.75,-33.5,-0.897391643809,-21.75,-1.15639832139,-0.0557978583689,-2.625,0.0089464103361,-0.5625,0.125,0.5,0.4375,0.0,0.0,0.0
2003,1.0,CLE,IND,0.0,2.0,48.0,73.0,-14.615999999999985,-0.3125,-0.0625,-0.939583333333,-0.125,3.375,0.381058318767,-40.1875,-0.467106231148,-0.0509637313323,-2.8125,-0.0439338016431,0.75,0.1875,-0.0625,7.1875,0.0,0.0,0.0
2003,1.0,DAL,ATL,0.0,-2.0,36.5,82.0,-121.54199999999969,-11.5625,-0.3125,-4.87604166667,-1.25,-38.375,-0.381152561373,-34.125,-0.652828566236,-0.0244671090249,-4.9375,-0.178220035778,1.125,0.25,0.4375,2.6875,0.0,0.0,1.0
2003,1.0,DET,ARI,0.0,-3.5,39.0,70.0,-30.559999999999945,2.75,-0.125,-3.03125,0.0,-21.625,-0.27768331849,15.875,-0.0533276828296,-0.0509525737201,-2.0,-0.134138486312,-1.3125,0.1875,-0.25,18.6875,1.0,1.0,1.0
2003,1.0,GB,MIN,1.0,-4.0,47.0,71.0,92.94800000000009,0.5,0.375,0.246875,-0.25,-35.875,-1.01418037436,-3.625,-0.489265850945,0.0184711407737,-2.0,-0.0535247208931,-1.375,-0.4375,-0.8125,-14.125,0.0,0.0,1.0
2003,1.0,KC,LAC,1.0,-4.5,47.0,77.0,61.037000000000035,8.375,0.0,-1.90208333333,1.0625,15.0625,0.561349237315,27.125,1.62866584056,0.00992884586909,1.875,0.0447876447876,0.125,-0.1875,-0.5625,-6.5625,1.0,1.0,0.0
2003,1.0,MIA,HOU,0.0,-14.0,34.5,89.0,175.23299999999995,10.3125,0.3125,3.36458333333,1.5625,72.1875,1.54386792453,41.5625,0.84796322246,0.0698773262532,6.875,0.124267626341,-3.1875,0.0,0.0625,-9.5,0.0,0.0,1.0
2003,1.0,NYG,LAR,0.0,1.0,46.5,78.0,18.158999999999878,0.25,0.1875,1.1375,-0.125,29.375,-0.238185221178,-12.6875,0.418470232205,-0.0268548398663,0.5,0.00116231368795,-1.375,-0.8125,-1.125,2.25,1.0,1.0,0.0
2003,1.0,PHI,TB,0.0,-3.0,36.0,74.0,-50.07099999999991,4.3125,0.0,-0.791666666667,0.8125,41.4375,0.779007735396,-3.8125,0.116447173625,-0.0334646429537,1.5,0.0337545337545,-0.3125,0.0625,0.1875,6.75,0.0,0.0,0.0
